nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Le Havre,175497,178800,3303
Antibes,74120,77000,2880
Pau,81166,84000,2834
Bourges,66381,69000,2619
Mulhouse,109588,111900,2312
Toulon,164532,166700,2168
Metz,120738,122800,2062
Saint-Malo,46342,48200,1858
Cagnes-sur-Mer,47141,48900,1759
Dieppe,31963,33600,1637
Poitiers,87697,89300,1603
Nice,343304,344900,1596
Dunkerque,92005,93600,1595
Vitrolles,35021,36600,1579
Reims,179992,181500,1508
Angoulême,41613,43100,1487
Mureaux,30859,32300,1441
Saint-Étienne,171260,172700,1440
Cherbourg-Octeville,38433,39800,1367
Maubeuge,31046,32400,1354
Aix-en-Provence,141438,142700,1262
Troyes,60280,61500,1220
Arras,41611,42800,1189
Roubaix,94713,95900,1187
Tarbes,43034,44200,1166
Sotteville-lès-Rouen,28835,30000,1165
Calais,73636,74800,1164
Montluçon,38402,39500,1098
Valence,63405,64500,1095
Charleville-Mézières,49810,50900,1090
Compiègne,40517,41600,1083
Lens,35032,36100,1068
Grenoble,155637,156700,1063
Concarneau,19048,20100,1052
Châtellerault,32459,33500,1041
Sens,24883,25900,1017
Pierrefitte-sur-Seine,27883,28900,1017
Chalon-sur-Saône,44985,46000,1015
Tremblay-en-France,34493,35500,1007
Creil,33601,34600,999
Alençon,26704,27700,996
Biarritz,25306,26300,994
Chaumont,23011,24000,989
Nancy,105421,106400,979
Roquebrune-Cap-Martin,12532,13500,968
Sevran,49832,50800,968
Amiens,133448,134400,952
Limoges,139150,140100,950
Caen,108954,109900,946
Lorient,57204,58100,896
Saint-Maur-des-Fossés,74816,75700,884
Saint-Dizier,25526,26400,874
Le Mans,142626,143500,874
Le Grand-Quevilly,24930,25800,870
Hérouville-Saint-Clair,21434,22300,866
Fréjus,51839,52700,861
Montargis,14649,15500,851
Vallauris,28252,29100,848
Nevers,36762,37600,838
Saint-Jean-de-Luz,12969,13800,831
Angers,147571,148400,829
Arcachon,10975,11800,825
Saint-Quentin,55978,56800,822
Haguenau,34280,35100,820
Saumur,27283,28100,817
Vitry-le-François,13384,14200,816
Châlons-en-Champagne,45299,46100,801
Brest,141303,142100,797
Verdun,18513,19300,787
Déols,7916,8700,784
Mougins,18917,19700,783
Villefranche-sur-Mer,5419,6200,781
Tulle,14923,15700,777
Niort,57325,58100,775
Bandol,8028,8800,772
Dole,24629,25400,771
Stains,33829,34600,771
Saint-Tropez,4532,5300,768
Nogent-sur-Oise,18833,19600,767
Sainte-Maxime,12938,13700,762
Brive-la-Gaillarde,48949,49700,751
Thiers,11250,12000,750
Fontenay-aux-Roses,23351,24100,749
Béziers,70955,71700,745
Soyaux,9561,10300,739
Boulogne-sur-Mer,43070,43800,730
Pennes-Mirabeau,19482,20200,718
Auxerre,36200,36900,700
Besançon,116914,117600,686
Castres,42314,43000,686
Tours,134817,135500,683
Tourcoing,91923,92600,677
Aurillac,27924,28600,676
Marseille,850726,851400,674
Frontignan,22526,23200,674
Sanary-sur-Mer,16429,17100,671
Montigny-le-Bretonneux,33337,34000,663
La Baule-Escoublac,16040,16700,660
Mont-Saint-Aignan,19341,20000,659
Lourdes,14743,15400,657
La Valette-du-Var,20754,21400,646
Autun,14256,14900,644
Saint-Amand-Montrond,10761,11400,639
Guyancourt,27966,28600,634
La Rochelle,75170,75800,630
Gardanne,20474,21100,626
Sedan,18577,19200,623
Gien,14684,15300,616
Le Touquet-Paris-Plage,4495,5100,605
Cluses,17408,18000,592
Versailles,86110,86700,590
Sarcelles,58614,59200,586
Beausoleil,13515,14100,585
Rodez,23917,24500,583
Vienne,29328,29900,572
Épernay,24035,24600,565
Grasse,51036,51600,564
Grigny,26638,27200,562
Rochefort,25140,25700,560
Royan,17946,18500,554
Vierzon,26946,27500,554
Oullins,25152,25700,548
Gif-sur-Yvette,20654,21200,546
Cognac,18557,19100,543
Annonay,16660,17200,540
Vesoul,15761,16300,539
Le Portel,9569,10100,531
Pamiers,15372,15900,528
